title,description,answer,type,category,priority,language,tag
Shift swap request not visible for team,"Employee Joao Sanchez (ID EMP56154) reports clock-in problem at Clinic North. Phone +1-934-309-4730, email joaosanchez497@contoso.com. GPS 43.93544,-79.332114. Issue started end of quarter. Manager Emile Anderson unable to approve. Timesheet shows 8h instead of 7h. Device Pixel 7 (OS iOS 16.7), app v7.9.7, network LTE. Error code E_TIMEOUT. Ref:461-365  Additional context: user cleared cache and rebooted.",Reset session token and invalidated stale refresh token; please sign out/in and confirm timesheet sync in 10 minutes.,Request,Times & Attendance,low,en,PDFExport
App crashes on launch for Daniel Walker (iPhone 12)...,"User Daniel Walker experienced an application crash on iPhone 12 (OS iPadOS 17.4) when opening the Timesheet screen. Email danielwalker891@fabrikam.org / phone +1-810-284-1714. After MFA code 922489, the screen froze. Build v10.6.7, network LTE. Logs show error code AUTH-401-MFA. Occurred yesterday 17:40. Ref:1529-117","Enabled background refresh and pushed appp config policy. If crash persists, send diagnostics via Settings -> Support.",Question,Mobile App & UI issues,low,en,Overtime
Shift swap request not visible for team,"Employee Chloe Sanchez (ID EMP27008) reports clock-in problem at Office NYC. Phone +1-435-290-3863, email chloesanchez338@contoso.com. GPS 44.132948,-79.141323. Issue started since last Friday. Manager Evelyn Nelson unable to appprove. Timesheet shows 9h instead of 9.5h. Device iPhone 14 Pro (OS Android 14), appp v7.0.8, network 5G. Error code AUTH-401-MFA. Ref:1093-546",Corrected pay policy rule for overtime after 40h; retro calculation queued and will reflect before payroll cutoff.,Incident,Times & Attendance,low,en,Wallet
Timesheet not updating hours for Daniel Morgan,Employee Daniel Morgan (ID EMP25110) reports clock-in problem at HQ Toronto. P...,Re-enabled push notifications at OS level and refreshed device token; test a sample alert from Notifications Center.,Question,Times & Attendance,low,en,ManagerApproval
Shift swap request not visible for team,"Employee Joao Sanchez (ID EMP56154) reports clock-in problem at Clinic North. Phone +1-934-309-4730, email joaosanchez497@contoso.com. GPS 43.93544,-79.332114. Issue started end of quarter. Manager Emile Anderson unable to approve. Timesheet shows 8h instead of 7h. Device Pixel 7 (OS iOS 16.7), app v7.9.7, network LTE. Error code E_TIMEOUT. Ref:461-365  Additional context: user cleared cache and rebooted.",Re-enabled push notifications at OS level and refreshed device token; test a sample alert from Notifications Center.,Incident,Times & Attendance,medium,en,Crash
Kiosk PIN rejected for Harper Thompson,"Employee Harper Thompson (ID EMP26604) reports clock-in problem at Plant 3 - Dock. Phone +1-649-302-6428, email harperthompson716@acme.test. GPS 44.053835,-79.398403. Issue started yesterday 17:40. Manager Bruna Harris unable to approve. Timesheet shows 8.5h instead of 9.0h. Device iPad Mini (OS Android 14), app v8.3.9, network 5G. Error code CRASH-09. Ref:655-452",Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry teh punch.,Request,Times & Attendance,low,en,Login
Buttons overlap on small screen — UI layout bug  Additional context: user cleared cache and rebooted.,"User Ana Campbell experienced an application crash on iPhone 12 (OS Android 14) when opening the Timesheet screen. Email anacampbell503@fabrikam.org / phone +1-806-286-7595. After MFA code 410661, the screen froze. Build v8.4.7, network LTE. Logs show error code HTTP 504. Occurred during night shift. Ref:1889-575",Cleared app cache and forced a re-sync; verify location services and try again near site perimeter.,Incident,Mobile App & UI issues,low,en,Wallet
Dark mode hides text on Settings screen,"User Emile Morris experienced an application crash on Samsung Galaxy S22 (OS Android 13) when opening the Approvals screen. Email emilemorris234@example.com / phone +1-915-709-7794. After MFA code 867298, the screen froze. Build v8.8.9, network 5G. Logs show error code AUTH-401-MFA. Occurred end of quarter. Ref:1418-299",Corrected pay policy rule for overtime after 40h; retro calculation queued and will reflect before payroll cutoff.,Request,Mobile App & UI issues,low,en,Wallet
Schedule missing shifts for Jo...,"Employee Jonas Morris (ID EMP84613) reports clock-in problem at Plant 3 - Dock. Phone +1-501-894-3026, email jonasmorris392@acme.test. GPS 43.852533,-79.531203. Issue started after daylight saving change. Manager Wei Roberts unable to appprove. Timesheet shows 10h instead of 12h. Device iPad Mini (OS Android 14), appp v8.9.9, network Corporate VPN. Error code E_TIMEOUT. Ref:1326-223",Cleared app cache and forced a re-sync; verify location services and try again near site perimeter.,Request,Times & Attendance,high,en,Overtime
Schedule missing shifts for Luis Jackson  Note: intermittent; occurs when switching from Wi-Fi to LTE.,"Employee Luis Jackson (ID EMP40288) reports clock-in problem at Warehouse A. Phone +1-214-480-6294, email luisjackson615@fabrikam.org. GPS 43.76919,-79.273534. Issue started during night shift. Manager Emile Morgan unable to approve. Timesheet shows 10h instead of 9h. Device iPad Mini (OS iOS 17.4), app v8.9.8, network LTE. Error code HTTP 504. Ref:1981-296",Corrected pay policy rule for overtime after 40h; retro calculation queued and will reflect before payroll cutoff.,Question,Times & Attendance,low,en,Slow
Geofencing blocks punch at HQ Toronto,Employee Aarav Wilson (ID EMP41419) reports cl...,Reset session token and invalidated stale refresh token; please sign out/in and confirm timesheet sync in 10 minutes.,Problem,Times & Attendance,medium,en,Slow
Overtime calculation appears off for Jia Mitchell,Employee Jia Mitchell (ID EMP46795) reports clock-in problem at Retail Store #214. Phone +1-5...,Corrected pay policy rule for overtime after 40h; retro calculation queued and will reflect before payroll cutoff.,Request,Times & Attendance,medium,en,ShiftSwap
Kiosk PIN rejected for Marta Brown,"Employee Marta Brown (ID EMP12308) reports clock-in problem at Warehouse A. Phone +1-218-487-3861, email martabrown646@mailinator.com. GPS 43.858452,-79.264525. Issue started end of quarter. Manager Sophia Taylor unable to approve. Timesheet shows 9h instead of 11h. Device Galaxy A54 (OS iOS 16.7), app v7.6.0, network LTE. Error code HTTP 504. Ref:895-221",Cleared app cache and forced a re-sync; verify location services and try again near site perimeter.,Request,Times & Attendance,low,en,ShiftSwap
Schedule missing shifts for Logan Martin," Employee Logan Martin (ID EMP75805) reports clock-in problem at Warehouse A. Phone +1-612-711-7113, email loganmartin261@demo.co. GPS 44.069288,-79.570866. Issue started today 08:15. Manager Bruna King unable to approve. Timesheet shows 10h instead of 9h. Device Pixel 8 (OS Android 13), app v8.6.0, network Wi-Fi. Error code NPE-UI-22. Ref:1397-161   ",Corrected pay policy rule for overtime after 40h; retro calculation queued & will reflect before payroll cutoff.,Incident,Times & Attendance,low,en,Cache
Geofencing blocks punch at Plant 3 - Dock,"Employee Hannah Johnson (ID EMP80937) reports clock-in problem at Plant 3 - Dock. Phone +1-798-445-4720, email hannahjohnson32@mailinator.com. GPS 43.610147,-79.541508. Issue started after daylight saving change. Manager Daniel Rogers unable to approve. Timesheet shows 8.5h instead of 7.5h. Device OnePlus 10 (OS Android 13), app v7.0.9, network Wi-Fi. Error code CRASH-09. Ref:1978-327",Reset session token and invalidated stale refresh token; please sign out/in and confirm timesheet sync in 10 minutes.,Incident,Times & Attendance,medium,en,PayrollCutoff
Login loop after MFA for Oliver Scott,"User Oliver Scott experienced an appplication crash on Pixel 7 (OS iOS 16.7) when opening the Login screen. Email oliverscott31@acme.test / phone +1-439-922-8730. After MFA code 238358, the screen froze. Build v7.3.0, network Corporate VPN. Logs show error code E_TIMEOUT. Occurred end of quarter. Ref:30-655","Enabled background refresh and pushed app config policy. If crash persists, send diagnostics via Settings -> Support.",Incident,Mobile App & UI issues,low,en,Schedule
Wallet screen blank after update," User Henry Anderson experienced an application crash on iPhone 12 (OS iOS 17.4) when opening teh Settings screen. Email henryanderson549@demo.co / phone +1-982-473-9044. After MFA code 124281, teh screen froze. Build v10.8.9, network Wi-Fi. Logs show error code SYNC-409. Occurred yesterday 17:40. Ref:1148-889   ","Enabled background refresh and pushed app config policy. If crash persists, send diagnostics via Settings -> Support.",Incident,Mobile App & UI issues,high,en,Accessibility
Buttons overlap on small screen — UI layout bug,"User Emily Wilson experienced an application crash on Samsung Galaxy S22 (OS Android 13) when opening the Approvals screen. Email emilywilson910@example.com / phone +1-321-512-9129. After MFA code 417930, the screen froze. Build v8.8.3, network LTE. Logs show error code CRASH-09. Occurred end of quarter. Ref:954-554",Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry teh punch.,Request,Mobile App & UI issues,high,en,Geofence
Profile picture upload fails  Additional context: user cleared cache and rebooted.,"User Emma Cook experienced an application crash on OnePlus 10 (OS iOS 16.7) when opening the Approvals screen. Email emmacook289@contoso.com / phone +1-755-596-3665. After MFA code 629439, the screen froze. Build v7.1.8, network LTE. Logs show error code APP-5001. Occurred yesterday 17:40. Ref:1761-321","Enabled background refresh and pushed app config policy. If crash persists, send diagnostics via Settings -> Support.",Incident,Mobile App & UI issues,medium,en,Session
Punch recorded twice for Isabella Davis,"Employee Isabella Davis (ID EMP61275) reports clock-in problem at HQ Toronto. Phone +1-382-862-6790, email isabelladavis516@mailinator.com. GPS 43.798545,-79.578273. Issue started yesterday 17:40. Manager Nora Collins unable to approve. Timesheet shows 9h instead of 10h. Device iPhone 14 Pro (OS iPadOS 17.4), app v10.7.3, network Wi-Fi. Error code HTTP 504. Ref:223-593",Reset session token and invalidated stale refresh token; please sign out/in and confirm timesheet sync in 10 minutes.,Incident,Times & Attendance,medium,en,Slow
Buttons overlap on small screen — UI layout bug,"User Luis Davis experienced an appplication crash on OnePlus 10 (OS iOS 17.4) when opening the Schedule screen. Email luisdavis760@contoso.com / phone +1-566-483-1620. After MFA code 729966, the screen froze. Build v8.4.5, network LTE. Logs show error code CRASH-09. Occurred around lunch break. Ref:487-669",Corrected pay policy rule for overtime after 40h; retro calculation queued and will reflect before payroll cutoff.,Incident,Mobile App & UI issues,medium,en,Accessibility
Timesheet not updating hours for Ja...,"Employee Jack Young (ID EMP97161) reports clock-in problem at Distribution East. Phone +1-658-291-4328, email jackyoung571@sample.io. GPS 43.791255,-79.298778. Issue started after update this morning. Manager Isha Evans unable to appprove. Timesheet shows 9h instead of 8h. Device Pixel 8 (OS iOS 16.7), appp v7.7.6, network Corporate VPN. Error code E_TIMEOUT. Ref:1938-633",Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry teh punch.,Incident,Times & Attendance,medium,en,TimeOff
Buttons overlap on small screen — UI layout bug  Additional context: user cleared cache and rebooted.,"User Liam Reed experienced an application crash on Pixel 7 (OS iOS 16.7) when opening teh Timesheet screen. Email liamreed513@sample.io / phone +1-728-844-6752. After MFA code 796749, teh screen froze. Build v9.7.6, network LTE. Logs show error code PUNCH-403. Occurred end of quarter. Ref:1174-636",Corrected pay policy rule for overtime after 40h; retro calculation queued & will reflect before payroll cutoff.,Incident,Mobile App & UI issues,low,en,UI-Bug
Shift swap request not visible for team,"Employee Liam Wright (ID EMP17490) reports clock-in problem at Plant 3 - Dock. Phone +1-699-803-7196, email liamwright416@fabrikam.org. GPS 43.66953,-79.360526. Issue started after update this morning. Manager Sofia Brown unable to approve. Timesheet shows 8h instead of 7h. Device iPad Mini (OS iOS 17.4), app v10.2.9, network Wi-Fi. Error code PUNCH-403. Ref:585-234",Re-enabled push notifications at OS level and refreshed device token; test a sample alert from Notifications Center.,Request,Times & Attendance,medium,en,Accessibility
Wallet screen blank after update,"User Miguel Parker experienced an application crash on OnePlus 10 (OS iPadOS 17.4) when opening teh Punch screen. Email miguelparker63@example.com / phone +1-771-670-3754. After MFA code 184197, teh screen froze. Build v10.4.8, network Corporate VPN. Logs show error code PUNCH-403. Occurred yesterday 17:40. Ref:1900-691",Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry teh punch.,Incident,Mobile App & UI issues,low,en,Punch
Push notifications missing for Charlotte Jackson...," User Charlotte Jackson experienced an application crash on Galaxy A54 (OS Android 14) when opening the Schedule screen. Email charlottejackson362@fabrikam.org / phone +1-897-255-5509. After MFA code 443608, the screen froze. Build v10.1.4, network Wi-Fi. Logs show error code PUNCH-403. Occurred after daylight saving change. Ref:1552-972   ",Expanded geofence radius to 200m & updated kiosk firmware to v3.2.1; retry the punch.,Request,Mobile App & UI issues,low,en,MFA
Buttons overlap on small screen — UI layout bug,"User Lena White experienced an application crash on OnePlus 10 (OS iOS 16.7) when opening the Schedule screen. Email lenawhite524@mailinator.com / phone +1-396-354-3049. After MFA code 663926, the screen froze. Build v10.1.1, network Corporate VPN. Logs show error code NPE-UI-22. Occurred around lunch break. Ref:714-542",Expanded geofence radius to 200m & updated kiosk firmware to v3.2.1; retry the punch.,Incident,Mobile App & UI issues,low,en,Wallet
Geofencing blocks punch at Warehouse A,"Employee Hao Baker (ID EMP62507) reports clock-in problem at Warehouse A. Phone +1-780-201-7800, email haobaker453@mailinator.com. GPS 43.831619,-79.263562. Issue started yesterday 17:40. Manager Harper Anderson unable to appprove. Timesheet shows 8h instead of 9h. Device Pixel 7 (OS Android 14), appp v9.8.2, network Corporate VPN. Error code SYNC-409. Ref:449-983",Cleared app cache and forced a re-sync; verify location services and try again near site perimeter.,Request,Times & Attendance,low,en,Crash
Kiosk PIN rejected for Ava Reed,Employee Ava Reed (ID EMP39151) reports clock-in problem at Distribution East. Phone +1-897-29...,Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry the punch.,Question,Times & Attendance,high,en,Slow
Clock-in failed for Sofia Turner at Retail Store #214,"Employee Sofia Turner (ID EMP91815) reports clock-in problem at Retail Store #214. Phone +1-322-875-4239, email sofiaturner443@mailinator.com. GPS 43.749869,-79.527278. Issue started end of quarter. Manager Jack Brown unable to appprove. Timesheet shows 10h instead of 10.5h. Device Galaxy A54 (OS iOS 17.4), appp v10.2.4, network 5G. Error code NPE-UI-22. Ref:386-413",Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry the punch.,Incident,Times & Attendance,medium,en,Session
Slow loading of schedule on Corporat...,"User Ana Baker experienced an application crash on iPad Mini (OS iOS 16.7) when opening teh Settings screen. Email anabaker540@demo.co / phone +1-858-386-5673. After MFA code 225503, teh screen froze. Build v8.3.6, network Corporate VPN. Logs show error code E_TIMEOUT. Occurred during night shift. Ref:812-422",Corrected pay policy rule for overtime after 40h; retro calculation queued & will reflect before payroll cutoff.,Incident,Mobile App & UI issues,high,en,ManagerApproval
Shift swap request not visible for team  Additional context: user cleared cache and rebooted.,"Employee Neha Taylor (ID EMP93484) reports clock-in problem at Distribution East. Phone +1-884-810-9089, email nehataylor337@contoso.com. GPS 43.695996,-79.312496. Issue started since last Friday. Manager Oliver Jackson unable to approve. Timesheet shows 8.5h instead of 9.5h. Device Pixel 8 (OS Android 13), app v8.7.0, network Wi-Fi. Error code E_TIMEOUT. Ref:260-480",Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry the punch.,Request,Times & Attendance,low,en,Slow
Geofencing blocks punch at Clinic North,"Employee Emily White (ID EMP96203) reports clock-in problem at Clinic North. Phone +1-261-255-4212, email emilywhite515@example.com. GPS 44.053362,-79.351793. Issue started after daylight saving change. Manager Marco Garcia unable to appprove. Timesheet shows 9h instead of 9.5h. Device iPad Mini (OS iPadOS 17.4), appp v8.3.8, network LTE. Error code E_TIMEOUT. Ref:351-388  Additional context: user cleared cache and rebooted.",Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry the punch.,Problem,Times & Attendance,low,en,PDFExport
Schedule missing shifts for Lena Baker...,"Employee Lena Baker (ID EMP50120) reports clock-in problem at Retail Store #214. Phone +1-568-286-9994, email lenabaker610@sample.io. GPS 43.871903,-79.574571. Issue started yesterday 17:40. Manager Jonas Moore unable to approve. Timesheet shows 8.5h instead of 7.5h. Device iPhone 14 Pro (OS Android 14), app v10.3.6, network Corporate VPN. Error code AUTH-401-MFA. Ref:876-247",Reset session token and invalidated stale refresh token; please sign out/in and confirm timesheet sync in 10 minutes.,Request,Times & Attendance,medium,en,Slow
Clock-in failed for Mateo Wilson at Plant 3 - Dock,"Employee Mateo Wilson (ID EMP34051) reports clock-in problem at Plant 3 - Dock. Phone +1-698-673-3690, email mateowilson832@demo.co. GPS 44.040687,-79.429896. Issue started yesterday 17:40. Manager Evelyn Bell unable to appprove. Timesheet shows 8h instead of 9h. Device Galaxy A54 (OS iPadOS 17.4), appp v9.8.9, network Corporate VPN. Error code CRASH-09. Ref:1913-616",Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry the punch.,Incident,Times & Attendance,high,en,PayrollCutoff
Punch recorded twice for Hannah Phillips,"Employee Hannah Phillips (ID EMP90199) reports clock-in problem at Plant 3 - Dock. Phone +1-609-421-7716, email hannahphillips71@mailinator.com. GPS 44.072828,-79.460113. Issue started after update this morning. Manager Isabella Miller unable to approve. Timesheet shows 7.5h instead of 9.5h. Device iPhone 14 Pro (OS iPadOS 17.4), app v7.4.6, network LTE. Error code CRASH-09. Ref:198-257",Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry the punch.,Incident,Times & Attendance,low,en,PayrollCutoff
Geofencing blocks punch at Office NYC  Note: intermittent; occurs when switching from Wi-Fi to LTE.,"Employee Marta Scott (ID EMP34650) reports clock-in problem at Office NYC. Phone +1-358-993-5724, email martascott200@acme.test. GPS 43.801997,-79.602313. Issue started end of quarter. Manager Isabella Jackson unable to approve. Timesheet shows 8h instead of 10h. Device iPhone 14 Pro (OS iOS 17.4), app v9.7.6, network 5G. Error code AUTH-401-MFA. Ref:793-638","Enabled background refresh and pushed appp config policy. If crash persists, send diagnostics via Settings -> Support.",Request,Times & Attendance,low,en,Schedule
Slow loading of schedule on Corporate VPN...,"User Mateo Gonzalez experienced an application crash on Samsung Galaxy S22 (OS iOS 16.7) when opening teh Timesheet screen. Email mateogonzalez116@contoso.com / phone +1-763-270-2895. After MFA code 722717, teh screen froze. Build v9.0.9, network Corporate VPN. Logs show error code CRASH-09. Occurred after daylight saving change. Ref:1715-817",Re-enabled push notifications at OS level & refreshed device token; test a sample alert from Notifications Center.,Problem,Mobile App & UI issues,urgent,en,Login
Geofencing blocks punch at Plant 3 - Dock  Additional context: user cleared cache and rebooted.,"Employee Diego Moore (ID EMP49826) reports clock-in problem at Plant 3 - Dock. Phone +1-415-993-9977, email diegomoore746@acme.test. GPS 44.138246,-79.689408. Issue started end of quarter. Manager Oliver Harris unable to approve. Timesheet shows 9h instead of 9.5h. Device Pixel 8 (OS iOS 16.7), app v7.0.0, network Corporate VPN. Error code NPE-UI-22. Ref:712-350  Observed that sync completes after 10–15 min then reverts.",Corrected pay policy rule for overtime after 40h; retro calculation queued and will reflect before payroll cutoff.,Incident,Times & Attendance,low,en,Timesheet
Kiosk PIN rejected for Sophia Cook,Employee Sophia Cook (ID EMP98783) repo...,Reset session token and invalidated stale refresh token; please sign out/in and confirm timesheet sync in 10 minutes.,Incident,Times & Attendance,medium,en,Biometric
Schedule missing shifts for Luis Green...,Employee Luis Green (ID EMP788...,Reset session token and invalidated stale refresh token; please sign out/in and confirm timesheet sync in 10 minutes.,Problem,Times & Attendance,low,en,Punch
Login loop after MFA for Aiden Cook,"User Aiden Cook experienced an application crash on iPhone 12 (OS Android 13) when opening the Schedule screen. Email aidencook623@example.com / phone +1-276-935-4098. After MFA code 257642, the screen froze. Build v10.5.7, network Corporate VPN. Logs show error code NPE-UI-22. Occurred around lunch break. Ref:1635-822  Observed that sync completes after 10–15 min then reverts.",Re-enabled push notifications at OS level and refreshed device token; test a sample alert from Notifications Center.,Incident,Mobile App & UI issues,low,en,Cache
Dark mode hides text on Settings sc...,"User Liam Morris experienced an application crash on Pixel 8 (OS iOS 17.4) when opening the Wallet screen. Email liammorris20@acme.test / phone +1-215-386-4654. After MFA code 761096, the screen froze. Build v9.5.7, network Wi-Fi. Logs show error code SYNC-409. Occurred around lunch break. Ref:894-603",Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry teh punch.,Problem,Mobile App & UI issues,medium,en,ManagerApproval
Kiosk PIN rejected for Ava Miller," Employee Ava Miller (ID EMP93768) reports clock-in problem at Call Center West. Phone +1-348-281-6789, email avamiller344@contoso.com. GPS 44.185414,-79.359058. Issue started end of quarter. Manager Avery Adams unable to approve. Timesheet shows 7.5h instead of 6.5h. Device iPhone 12 (OS iOS 16.7), app v8.7.8, network 5G. Error code E_TIMEOUT. Ref:1527-663   ","Enabled background refresh & pushed appp config policy. If crash persists, send diagnostics via Settings -> Support.",Incident,Times & Attendance,high,en,Accessibility
Schedule missing shifts for Jack Morgan,"Employee Joao Sanchez (ID EMP56154) reports clock-in problem at Clinic North. Phone +1-934-309-4730, email joaosanchez497@contoso.com. GPS 43.93544,-79.332114. Issue started end of quarter. Manager Emile Anderson unable to approve. Timesheet shows 8h instead of 7h. Device Pixel 7 (OS iOS 16.7), app v7.9.7, network LTE. Error code E_TIMEOUT. Ref:461-365  Additional context: user cleared cache and rebooted.",Cleared app cache and forced a re-sync; verify location services and try again near site perimeter.,Incident,Times & Attendance,low,en,Schedule
Push notifications missing for Isha Roberts  Impact: affects payroll cutoff if not resolved before Friday.,"User Isha Roberts experienced an application crash on Pixel 8 (OS iOS 17.4) when opening teh Settings screen. Email isharoberts634@acme.test / phone +1-928-310-3851. After MFA code 669831, teh screen froze. Build v10.3.7, network Corporate VPN. Logs show error code APP-5001. Occurred end of quarter. Ref:623-363  Note: intermittent; occurs when switching from Wi-Fi to LTE.",Re-enabled push notifications at OS level and refreshed device token; test a sample alert from Notifications Center.,Request,Mobile App & UI issues,low,en,TimeOff
Kiosk PIN rejected for Zoe Davis,"Employee Zoe Davis (ID EMP67697) reports clock-in problem at Clinic North. Phone +1-402-566-1029, email zoedavis17@sample.io. GPS 44.08722,-79.541199. Issue started since last Friday. Manager Evelyn Anderson unable to approve. Timesheet shows 8h instead of 7h. Device Galaxy A54 (OS iOS 16.7), app v10.3.5, network Wi-Fi. Error code APP-5001. Ref:1082-125",Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry teh punch.,Question,Times & Attendance,low,en,Accessibility
Login loop after MFA for Mason Martin,"User Mason Martin experienced an appplication crash on iPhone 12 (OS iOS 17.4) when opening teh Login screen. Email masonmartin373@sample.io / phone +1-710-962-3180. After MFA code 826129, teh screen froze. Build v9.2.4, network Wi-Fi. Logs show error code NPE-UI-22. Occurred yesterday 17:40. Ref:1691-909",Expanded geofence radius to 200m & updated kiosk firmware to v3.2.1; retry the punch.,Incident,Mobile App & UI issues,low,en,Timezone
Timesheet not updating hours for Isha Garcia...,"Employee Isha Garcia (ID EMP25303) reports clock-in problem at Plant 3 - Dock. Phone +1-807-653-2692, email ishagarcia211@acme.test. GPS 44.026179,-79.677018. Issue started yesterday 17:40. Manager Jack Brown unable to approve. Timesheet shows 8.5h instead of 9.0h. Device Pixel 8 (OS Android 13), app v9.8.9, network Corporate VPN. Error code SYNC-409. Ref:266-434",Reset session token and invalidated stale refresh token; please sign out/in and confirm timesheet sync in 10 minutes.,Incident,Times & Attendance,low,en,ShiftSwap
Punch recorded twice for Mia Lee,"Employee Mia Lee (ID EMP98482) reports clock-in problem at HQ Toronto. Phone +1-435-695-1170, email mialee270@acme.test. GPS 43.78246,-79.398969. Issue started after update this morning. Manager Lucas Moore unable to approve. Timesheet shows 7.5h instead of 8.0h. Device iPad Mini (OS iOS 17.4), app v10.1.9, network LTE. Error code NPE-UI-22. Ref:1435-624",Re-enabled push notifications at OS level & refreshed device token; test a sample alert from Notifications Center.,Request,Times & Attendance,high,en,Wallet
App crashes on launch for Arjun Jackson (Pixel 7),"User Arjun Jackson experienced an application crash on Pixel 7 (OS iOS 17.4) when opening the Wallet screen. Email arjunjackson163@demo.co / phone +1-882-848-7316. After MFA code 138897, the screen froze. Build v8.9.9, network 5G. Logs show error code SYNC-409. Occurred around lunch break. Ref:114-617  Steps tried: reinstall, toggled airplane mode, switched networks.",Corrected pay policy rule for overtime after 40h; retro calculation queued and will reflect before payroll cutoff.,Problem,Mobile App & UI issues,low,en,Crash
Kiosk PIN rejected for Mia Lopez  Additional context: user cleared cache and rebooted.,"Employee Mia Lopez (ID EMP35125) reports clock-in problem at Call Center West. Phone +1-913-489-8812, email mialopez594@example.com. GPS 44.089584,-79.16467. Issue started since last Friday. Manager Luca White unable to approve. Timesheet shows 10h instead of 10.5h. Device iPad Mini (OS iOS 17.4), app v9.7.5, network 5G. Error code CRASH-09. Ref:522-221",Reset session token and invalidated stale refresh token; please sign out/in and confirm timesheet sync in 10 minutes.,Request,Times & Attendance,low,en,Biometric
Timesheet not updating hours for Aarav Stewart,"Employee Aarav Stewart (ID EMP58432) reports clock-in problem at Call Center West. Phone +1-349-546-6259, email aaravstewart358@example.com. GPS 43.938448,-79.497239. Issue started after update this morning. Manager Noah White unable to approve. Timesheet shows 9h instead of 11h. Device Pixel 7 (OS iPadOS 17.4), app v8.5.1, network Corporate VPN. Error code HTTP 504. Ref:235-722","Enabled background refresh and pushed app config policy. If crash persists, send diagnostics via Settings -> Support.",Incident,Times & Attendance,low,en,ShiftSwap
Punch recorded twice for Logan Baker,"Employee Logan Baker (ID EMP69188) reports clock-in problem at Clinic North. Phone +1-528-349-1670, email loganbaker700@acme.test. GPS 43.603989,-79.495954. Issue started during night shift. Manager Wei Hall unable to approve. Timesheet shows 9h instead of 9.5h. Device Pixel 7 (OS Android 14), app v9.2.1, network 5G. Error code HTTP 504. Ref:1390-823",Re-enabled push notifications at OS level & refreshed device token; test a sample alert from Notifications Center.,Incident,Times & Attendance,medium,en,TimeOff
"Login loop after MFA for Henry Perez  Steps tried: reinstall, toggled airplane mode, switched networks.","User Henry Perez experienced an application crash on Pixel 7 (OS iPadOS 17.4) when opening the Timesheet screen. Email henryperez698@fabrikam.org / phone +1-655-445-9503. After MFA code 827406, the screen froze. Build v9.6.9, network 5G. Logs show error code E_TIMEOUT. Occurred since last Friday. Ref:338-918  Additional context: user cleared cache and rebooted.",Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry the punch.,Incident,Mobile App & UI issues,low,en,Wallet
Slow loading of schedule on Wi-Fi  Impact: affects payroll cutoff if not resolved before Friday.,User Neha Johnson experienced an appl...,Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry the punch.,Request,Mobile App & UI issues,low,en,ManagerApproval
Schedule missing shifts for Chloe Turner,"Employee Chloe Turner (ID EMP15155) reports clock-in problem at Call Center West. Phone +1-406-269-9500, email chloeturner491@sample.io. GPS 44.082004,-79.467546. Issue started yesterday 17:40. Manager Arjun Morris unable to appprove. Timesheet shows 10h instead of 9h. Device iPhone 12 (OS Android 14), appp v8.9.0, network 5G. Error code SYNC-409. Ref:244-582",Reset session token and invalidated stale refresh token; please sign out/in and confirm timesheet sync in 10 minutes.,Incident,Times & Attendance,low,en,Geofence
Kiosk PIN rejected for Aiden White,"Employee Aiden White (ID EMP52451) reports clock-in problem at HQ Toronto. Phone +1-465-754-3303, email aidenwhite966@fabrikam.org. GPS 43.812214,-79.632479. Issue started end of quarter. Manager Henry Martin unable to approve. Timesheet shows 9h instead of 9.5h. Device iPhone 14 Pro (OS iPadOS 17.4), app v9.7.5, network Corporate VPN. Error code E_TIMEOUT. Ref:1031-544",Corrected pay policy rule for overtime after 40h; retro calculation queued and will reflect before payroll cutoff.,Problem,Times & Attendance,low,en,Accessibility
Shift swap request not visible for team,"Employee Emily Sanchez (ID EMP92849) reports clock-in problem at Office NYC. Phone +1-284-517-7605, email emilysanchez638@sample.io. GPS 44.119755,-79.379791. Issue started since last Friday. Manager Bruna Miller unable to approve. Timesheet shows 9h instead of 8h. Device OnePlus 10 (OS iOS 16.7), app v7.1.0, network 5G. Error code CRASH-09. Ref:1396-292  Observed that sync completes after 10–15 min then reverts.",Cleared appp cache and forced a re-sync; verify location services and try again near site perimeter.,Problem,Times & Attendance,medium,en,Kiosk
